NUMBER_KEY,SUB_TYPE_DESC,ENTERED_DATE,DATA_STATUS_DISPLAY,LATITUDE,LONGITUDE,address,parcel_id
PSC2106985,"tall grass/weeds, private prop",2021-07-23T00:00:00Z,CLOSED,39.1266196859056,-84.605383602874,5335 GLENWAY AV,NA
JV21000573,junk veh on private prop,2021-07-23T00:00:00Z,Closed,39.0974314985685,-84.6562718331906,5478 RIVER RD,NA
PSC2107005,"trash, empty cans left out",2021-07-23T00:00:00Z,NA,39.2153497751314,-84.465567296759,8401 WISWELL ST,NA
HBC2021006,unsafe building,2021-07-23T00:00:00Z,NA,39.2328691041744,-84.627532888688,5687 SPRINGDALE RD,NA
PSA2101250,"tall grass/weeds, private prop",2021-07-23T00:00:00Z,Abated by the Owner,39.1503550810384,-84.5634685540298,2313 IROLL AV,NA
BC20210278,vacant comm bldg-barrc,2021-07-23T00:00:00Z,Closed - Orders Reissued,39.1266196859056,-84.605383602874,5335 GLENWAY AV,NA
BC20210176,use of comm property stndrd,2021-07-23T00:00:00Z,Closed,39.0963737585611,-84.3874956649615,2303 BEECHMONT AV,NA
PSA2101332,"tall grass/weeds, private prop",2021-08-05T00:00:00Z,NA,39.1775592082512,-84.4779430171938,4969 PADDOCK RD,NA
B202100646,emergency hazard abatement,2021-08-05T00:00:00Z,Stabilized,39.1317549191551,-84.5452810576495,2550 BEEKMAN ST,NA
PSC2107639,"tall grass/weeds, private prop",2021-08-05T00:00:00Z,Abated by the Owner,39.1982859799377,-84.4576744301967,7530 READING RD,NA
PSC2107638,"tall grass/weeds, private prop",2021-08-05T00:00:00Z,Abated by the Owner,39.1987712932585,-84.4573950059828,7600 READING RD,NA
PSC2107631,"dumping, prv prop <2500 sq ft",2021-08-05T00:00:00Z,Closed - Transferred to another Agency,39.1252113762551,-84.4983025892506,2407 SYMMES ST,NA
B202104354,res code standard,2021-08-05T00:00:00Z,Final Notice,39.1488257898288,-84.55261317782,1954 MILLVALE CT,NA
B202104362,res code standard,2021-08-05T00:00:00Z,Closed,39.1141835893565,-84.5833690792205,4207 GLENWAY AV,NA
BC20210277,comm code standard,2021-07-23T00:00:00Z,Closed,39.2013660594454,-84.4569343345125,7685 READING RD,NA
JV21000572,junk veh on private prop,2021-07-23T00:00:00Z,Referred for Towing to Impound Lot,39.0974314985685,-84.6562718331906,5478 RIVER RD,NA
BAC2100203,"dumping, illegal dumping",2021-07-22T00:00:00Z,NA,39.2646310340967,-84.3672420228898,5719 COOK AV,NA
PSC2106936,"tall grass/weeds, private prop",2021-07-22T00:00:00Z,Closed - Transferred to another Agency,39.0902168492302,-84.3937089274966,6006 WAYSIDE AV,NA
SYCC210200,302.4 tall grass/weed prv prop,2021-07-22T00:00:00Z,NA,39.2165403172111,-84.3782489550582,8740 KENWOOD RD,NA
SYCC210199,302.4 tall grass/weed prv prop,2021-07-22T00:00:00Z,NA,39.2854111510541,-84.3494088309973,11916 5TH AV,NA
B202104163,res code standard,2021-07-22T00:00:00Z,Closed,39.0989550879468,-84.5139246842891,310 RACE ST,NA
PSC2106943,"tall grass/weeds, private prop",2021-07-22T00:00:00Z,Abated by the Owner,39.124335113058,-84.4909722495685,2350 GILBERT AV,NA
B202104337,res code standard,2021-08-05T00:00:00Z,Closed - Orders Reissued,39.1402473272817,-84.5385383241869,3103 COLERAIN AV,NA
B202104360,res code standard,2021-08-05T00:00:00Z,Closed,39.15021055461,-84.5086704146765,3660 IRVING ST,NA
PSC2107659,"litter, private property",2021-08-05T00:00:00Z,Abated by the Owner,39.1130739932579,-84.5214993087044,1599 CENTRAL PKWY,NA
PSC2107600,"tall grass/weeds, private prop",2021-08-05T00:00:00Z,Abated by the Owner,39.1345574264265,-84.5316239476052,2880 CENTRAL PKWY,NA
BC20210298,comm code standard,2021-08-05T00:00:00Z,Orders Issued,39.1539923306524,-84.6037589851016,3217 HARRISON AV,NA
B202104318,res code standard,2021-08-04T00:00:00Z,Closed,39.1202335937423,-84.525124947323,2106 CENTRAL PKWY,NA
B202104327,res code standard,2021-08-04T00:00:00Z,NA,39.1042313434184,-84.5173679068476,204 W 8TH ST,NA
PSC2107577,"litter, private property",2021-08-04T00:00:00Z,Abated by the Owner,39.1141966299663,-84.5164903886941,1635 VINE ST,NA
JV21000600,junk veh on private prop,2021-08-04T00:00:00Z,Abated by the Owner,39.1745239398126,-84.4766897199368,1225 FRANKLIN AV,NA
JV21000598,junk veh on private prop,2021-08-04T00:00:00Z,Abated by the Owner,39.1745239398126,-84.4766897199368,1225 FRANKLIN AV,NA
PSA2101330,"tall grass/weeds, private prop",2021-08-04T00:00:00Z,NA,39.1014212935315,-84.5624808094964,624 HAWTHORNE AV,NA
JV21000595,junk veh on private prop,2021-08-04T00:00:00Z,Closed,39.2164963092319,-84.461267594359,322 OXLEY ST,NA
B202104325,res code standard,2021-08-04T00:00:00Z,Closed,39.1169489060786,-84.5167808275188,1902 VINE ST,NA
BC20210275,comm code standard,2021-07-22T00:00:00Z,Closed,39.1286840059201,-84.4757995908962,2734 MOORMAN AV,NA
B202104162,vacant res bldg-barrc priority,2021-07-22T00:00:00Z,Final Notice,39.1432852276921,-84.5833180252287,3054 BRACKEN WOODS LN,NA
B202104170,res code standard,2021-07-22T00:00:00Z,Closed,39.1619276180119,-84.5614976384597,1794 WEST FORK RD,NA
B202104174,res code standard,2021-07-22T00:00:00Z,Closed,39.2182055879532,-84.4814143730118,5907 MEYERS DR,NA
PSA2101244,"tall grass/weeds, private prop",2021-07-22T00:00:00Z,NA,39.1247122476928,-84.5574414203842,1776 ESMONDE ST,NA
PSC2106930,"tall grass/weeds, private prop",2021-07-22T00:00:00Z,Abated by the Owner,39.1272413658522,-84.4748811035886,2606 HACKBERRY ST,NA
BAR2100120,barricade residential,2021-07-22T00:00:00Z,Owner Billed,39.1324523573077,-84.5459113843277,2600 BEEKMAN ST,NA
PSA2101235,"tall grass/weeds, private prop",2021-07-22T00:00:00Z,Abated by the Owner,39.1444565876368,-84.5381207712227,3337 COLERAIN AV,NA
B202104336,res code standard,2021-08-04T00:00:00Z,Closed,39.1195497841943,-84.438063177445,513 DELTA AV,NA
BC20210179,use of comm property stndrd,2021-08-04T00:00:00Z,First Civil Citation and Fine Issued,39.1236146923131,-84.5541338323306,2201 GRAND AV,NA
PSC2107555,"sidewalk, bushes encumbering",2021-08-04T00:00:00Z,Abated by the Owner,39.1314924779307,-84.5291164313859,2740 W MCMICKEN AV,NA
B202104316,res code standard,2021-08-04T00:00:00Z,Closed,39.202649214741,-84.5404445635209,1324 W NORTH BEND RD,NA
PSC2107594,"litter, private property",2021-08-04T00:00:00Z,Abated by the Owner,39.2120041043154,-84.4677153230556,135 E GALBRAITH RD,NA
B202104333,res code standard,2021-08-04T00:00:00Z,Closed,39.2159850482663,-84.4823084584599,1412 GOVERNOR TER,NA
B202104319,res code standard,2021-08-04T00:00:00Z,Closed,39.1056615803074,-84.557853553787,802 MT HOPE AV,NA
BAR2100180,barricade residential,2021-08-04T00:00:00Z,Owner Billed,39.1204202868897,-84.5252854503423,303 W MCMICKEN AV,NA
JV21000599,junk veh on private prop,2021-08-04T00:00:00Z,Abated by the Owner,39.1745239398126,-84.4766897199368,1225 FRANKLIN AV,NA
B202104148,res code standard,2021-07-21T00:00:00Z,Closed - Orders Reissued,39.1375859541806,-84.4571128040056,2324 MADISON RD,NA
B202104146,tree on priv prop standard,2021-07-21T00:00:00Z,Closed,39.0656602868981,-84.4273002315709,5837 CROSLIN ST,NA
B202104155,res code standard,2021-07-21T00:00:00Z,Final Notice,39.1247298015981,-84.5792353753663,1864 SUNSET AV,NA
BAC2100201,"grass or weed, too tall",2021-07-21T00:00:00Z,NA,39.2369869273137,-84.4034801388656,9794 COOPER SPRINGS LN,NA
BC20210175,"lights, shining into bldg",2021-07-21T00:00:00Z,Orders Issued,39.1610819000778,-84.5444235265548,1708 BLUE ROCK ST,NA
NWPM210127,complaint,2021-07-21T00:00:00Z,NA,39.1580547336683,-84.4616264128201,4405 ALLISON AV,NA
B202104161,res code standard,2021-07-21T00:00:00Z,Closed,39.0989459742988,-84.5142909744501,317 RACE ST,NA
B202104160,res code standard,2021-07-21T00:00:00Z,Closed,39.1153995137139,-84.5765234789744,3858 EVERS ST,NA
B202102719,parking in yard stndrd,2021-07-21T00:00:00Z,Orders Issued,39.124609318352,-84.5510072444926,1665 WESTWOOD AV,NA
B202104153,tree on priv prop standard,2021-07-21T00:00:00Z,NA,39.1463575328968,-84.5900821119588,2856 FISCHER PL,NA
PSC2106876,"litter, private property",2021-07-21T00:00:00Z,Abated by the Owner,39.1108008047148,-84.5955118907007,4403 ST LAWRENCE AV,NA
JV21000569,junk veh on private prop,2021-07-21T00:00:00Z,Closed,39.1246631580842,-84.5512238916513,1669 WESTWOOD AV,NA
PSC2106867,"tall grass/weeds, private prop",2021-07-21T00:00:00Z,Abated by the Owner,39.1633892805172,-84.3929711612198,5821 CHANDLER ST,NA
B202104152,res code standard,2021-07-21T00:00:00Z,Closed,39.1551253294959,-84.4940983156564,3854 WASHINGTON AV,NA
NWPM210123,complaint,2021-07-21T00:00:00Z,NA,39.1552215842323,-84.4472264865054,2511 IDA AV,NA
